id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow1.69.5,2764.0,-355037966#4_0,5.1,0.0,14.0,3364.0,758926622_0,154.47,19.22,600.0,1332.87,7.0,2,451.0,44.94,0,tripinfo_flow1.69.5 emissions_flow1.69.5,car_fast,0.9,,
flow5.82,3268.0,67209282#0_0,5.1,0.0,0.0,3365.0,-67504621_0,163.75,7.72,97.0,732.17,0.0,0,0.0,8.61,0,tripinfo_flow5.82 emissions_flow5.82,car_slow,1.02,,
flow1.69.6,2767.0,-355037966#4_0,5.1,0.0,17.0,3367.0,758926622_0,154.47,19.1,600.0,1332.87,7.0,2,451.0,54.17,0,tripinfo_flow1.69.6 emissions_flow1.69.6,car_fast,1.03,,
flow5.82.1,3272.0,67209282#0_0,5.1,0.0,4.0,3371.0,-67504621_0,163.75,7.86,99.0,732.17,0.0,0,0.0,9.19,0,tripinfo_flow5.82.1 emissions_flow5.82.1,car_slow,0.89,,
flow5.82.2,3276.0,67209282#0_0,5.1,0.0,8.0,3373.0,-67504621_0,163.75,8.21,97.0,732.17,0.0,0,0.0,8.64,0,tripinfo_flow5.82.2 emissions_flow5.82.2,car_slow,1.18,,
flow5.82.3,3280.0,67209282#0_0,5.1,0.0,12.0,3377.0,-67504621_0,163.75,7.7,97.0,732.17,0.0,0,0.0,8.33,0,tripinfo_flow5.82.3 emissions_flow5.82.3,car_slow,1.13,,
flow5.82.4,3284.0,67209282#0_0,5.1,0.0,16.0,3382.0,-67504621_0,163.75,8.03,98.0,732.17,0.0,0,0.0,8.92,0,tripinfo_flow5.82.4 emissions_flow5.82.4,car_slow,1.02,,
flow5.82.5,3288.0,67209282#0_0,5.1,0.0,20.0,3385.0,-67504621_0,163.75,7.62,97.0,732.17,0.0,0,0.0,7.87,0,tripinfo_flow5.82.5 emissions_flow5.82.5,car_slow,0.99,,
flow5.82.6,3292.0,67209282#0_0,5.1,0.0,24.0,3390.0,-67504621_0,163.75,7.65,98.0,732.17,0.0,0,0.0,8.34,0,tripinfo_flow5.82.6 emissions_flow5.82.6,car_slow,0.99,,
flow5.84,3346.0,67209282#0_0,5.1,0.0,0.0,3419.0,-67504621_0,163.75,13.77,73.0,732.17,7.0,1,0.0,17.87,0,tripinfo_flow5.84 emissions_flow5.84,car,1.11,,
flow5.84.1,3349.0,67209282#0_0,5.1,0.0,3.0,3427.0,-67504621_0,163.75,10.86,78.0,732.17,1.0,1,0.0,14.69,0,tripinfo_flow5.84.1 emissions_flow5.84.1,car,0.79,,
flow5.84.2,3352.0,67209282#0_0,5.1,0.0,6.0,3429.0,-67504621_0,163.75,13.12,77.0,732.17,0.0,0,0.0,22.56,0,tripinfo_flow5.84.2 emissions_flow5.84.2,car,1.22,,
flow5.84.3,3355.0,67209282#0_0,5.1,0.0,9.0,3431.0,-67504621_0,163.75,11.84,76.0,732.17,0.0,0,0.0,17.48,0,tripinfo_flow5.84.3 emissions_flow5.84.3,car,0.9,,
flow5.84.4,3358.0,67209282#0_0,5.1,0.0,12.0,3433.0,-67504621_0,163.75,13.35,75.0,732.17,0.0,0,0.0,20.35,0,tripinfo_flow5.84.4 emissions_flow5.84.4,car,1.1,,
flow5.84.5,3361.0,67209282#0_0,5.1,0.0,15.0,3435.0,-67504621_0,163.75,13.64,74.0,732.17,0.0,0,0.0,19.19,0,tripinfo_flow5.84.5 emissions_flow5.84.5,car,1.09,,
flow5.84.6,3364.0,67209282#0_0,5.1,0.0,18.0,3440.0,-67504621_0,163.75,12.37,76.0,732.17,0.0,0,0.0,18.4,0,tripinfo_flow5.84.6 emissions_flow5.84.6,car,0.93,,
