id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow5.52,2142.0,67209282#0_0,5.1,0.0,0.0,2248.0,-67504621_0,163.75,12.66,106.0,732.17,33.0,1,0.0,51.61,0,tripinfo_flow5.52 emissions_flow5.52,car,0.99,,
flow4.49.6,1981.0,-758926622_0,5.1,0.0,18.0,2249.0,132346057#5_0,344.19,8.44,268.0,1923.34,23.0,3,0.0,102.54,0,tripinfo_flow4.49.6 emissions_flow4.49.6,car,1.08,,
flow4.47,1984.0,-758926622_0,5.1,0.0,13.0,2251.0,132346057#5_0,344.19,7.5,267.0,1923.34,18.0,2,0.0,97.52,0,tripinfo_flow4.47 emissions_flow4.47,car,1.04,,
flow5.52.1,2145.0,67209282#0_0,5.1,0.0,3.0,2252.0,-67504621_0,163.75,13.87,107.0,732.17,32.0,1,0.0,51.88,0,tripinfo_flow5.52.1 emissions_flow5.52.1,car,1.01,,
flow5.52.2,2148.0,67209282#0_0,5.1,0.0,6.0,2255.0,-67504621_0,163.75,13.17,107.0,732.17,32.0,1,0.0,52.07,0,tripinfo_flow5.52.2 emissions_flow5.52.2,car,1.02,,
flow5.52.3,2151.0,67209282#0_0,5.1,0.0,9.0,2258.0,-67504621_0,163.75,13.6,107.0,732.17,30.0,1,0.0,51.63,0,tripinfo_flow5.52.3 emissions_flow5.52.3,car,0.99,,
flow1.34.4,1617.0,-355037966#4_0,5.1,0.0,12.0,2260.0,758926632#3_0,91.01,7.14,643.0,450.84,52.0,6,491.0,104.18,1,tripinfo_flow1.34.4 emissions_flow1.34.4,car,0.92,,
flow5.52.4,2154.0,67209282#0_0,5.1,0.0,12.0,2260.0,-67504621_0,163.75,12.61,106.0,732.17,28.0,1,0.0,52.11,0,tripinfo_flow5.52.4 emissions_flow5.52.4,car,1.21,,
flow5.52.5,2157.0,67209282#0_0,5.1,0.0,15.0,2263.0,-67504621_0,163.75,13.22,106.0,732.17,29.0,1,0.0,51.26,0,tripinfo_flow5.52.5 emissions_flow5.52.5,car,1.02,,
flow1.34.5,1620.0,-355037966#4_0,5.1,0.0,15.0,2265.0,758926632#3_0,91.01,7.71,645.0,450.84,50.0,7,489.0,111.12,1,tripinfo_flow1.34.5 emissions_flow1.34.5,car,1.03,,
flow5.52.6,2160.0,67209282#0_0,5.1,0.0,18.0,2267.0,-67504621_0,163.75,12.66,107.0,732.17,28.0,1,0.0,51.14,0,tripinfo_flow5.52.6 emissions_flow5.52.6,car,0.97,,
flow5.50,2171.0,67209282#0_0,5.1,0.0,0.0,2270.0,-67504621_0,163.75,13.62,99.0,732.17,21.0,1,0.0,43.27,0,tripinfo_flow5.50 emissions_flow5.50,car,0.99,,
flow5.50.1,2174.0,67209282#0_0,5.1,0.0,3.0,2273.0,-67504621_0,163.75,12.91,99.0,732.17,19.0,1,0.0,43.9,0,tripinfo_flow5.50.1 emissions_flow5.50.1,car,1.04,,
