id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow4.32.2,1357.0,-758926622_0,5.1,0.0,19.0,1696.0,132346057#5_0,344.19,7.57,339.0,1923.34,43.0,1,0.0,104.42,0,tripinfo_flow4.32.2 emissions_flow4.32.2,car_slow,0.98,,
flow4.32.3,1361.0,-758926622_0,5.1,0.0,23.0,1702.0,132346057#5_0,344.19,6.62,341.0,1923.34,42.0,1,0.0,96.3,0,tripinfo_flow4.32.3 emissions_flow4.32.3,car_slow,0.88,,
flow4.32.4,1365.0,-758926622_0,5.1,0.0,27.0,1727.0,132346057#5_0,344.19,5.32,362.0,1923.34,42.0,1,0.0,94.62,0,tripinfo_flow4.32.4 emissions_flow4.32.4,car_slow,0.71,,
flow5.36,1658.0,67209282#0_0,5.1,0.0,0.0,1727.0,-67504621_0,163.75,13.05,69.0,732.17,0.0,0,0.0,14.17,0,tripinfo_flow5.36 emissions_flow5.36,car,1.06,,
flow4.19_truck,1397.0,-758926622_0,5.1,0.0,0.58,1729.0,132346057#5_0,344.19,7.74,332.0,1923.34,21.0,2,0.0,99.18,0,tripinfo_flow4.19_truck emissions_flow4.19_truck,car_slow,1.13,,
flow5.36.1,1661.0,67209282#0_0,5.1,0.0,3.0,1730.0,-67504621_0,163.75,13.08,69.0,732.17,0.0,0,0.0,13.97,0,tripinfo_flow5.36.1 emissions_flow5.36.1,car,0.99,,
flow5.36.2,1664.0,67209282#0_0,5.1,0.0,6.0,1733.0,-67504621_0,163.75,13.09,69.0,732.17,0.0,0,0.0,13.72,0,tripinfo_flow5.36.2 emissions_flow5.36.2,car,0.99,,
flow5.36.3,1667.0,67209282#0_0,5.1,0.0,9.0,1737.0,-67504621_0,163.75,12.77,70.0,732.17,0.0,0,0.0,14.23,0,tripinfo_flow5.36.3 emissions_flow5.36.3,car,1.05,,
flow5.36.4,1670.0,67209282#0_0,5.1,0.0,12.0,1741.0,-67504621_0,163.75,11.69,71.0,732.17,0.0,0,0.0,12.9,0,tripinfo_flow5.36.4 emissions_flow5.36.4,car,0.9,,
flow4.19_truck.1,1400.0,-758926622_0,5.1,0.0,3.58,1745.0,132346057#5_0,344.19,8.12,345.0,1923.34,63.0,2,0.0,112.12,0,tripinfo_flow4.19_truck.1 emissions_flow4.19_truck.1,car_slow,1.04,,
flow4.19_truck.2,1404.0,-758926622_0,5.1,0.0,7.58,1755.0,132346057#5_0,344.19,7.82,351.0,1923.34,61.0,3,0.0,114.17,0,tripinfo_flow4.19_truck.2 emissions_flow4.19_truck.2,car_slow,0.96,,
flow4.19_truck.3,1408.0,-758926622_0,5.1,0.0,11.58,1759.0,132346057#5_0,344.19,7.85,351.0,1923.34,61.0,3,0.0,118.43,0,tripinfo_flow4.19_truck.3 emissions_flow4.19_truck.3,car_slow,1.13,,
flow4.19_truck.4,1412.0,-758926622_0,5.1,0.0,15.58,1782.0,132346057#5_0,344.19,7.32,370.0,1923.34,70.0,3,0.0,133.64,0,tripinfo_flow4.19_truck.4 emissions_flow4.19_truck.4,car_slow,0.96,,
flow4.36,1453.0,-758926622_0,5.1,0.0,0.0,1798.0,132346057#5_0,344.19,7.0,345.0,1923.34,61.0,4,0.0,150.32,0,tripinfo_flow4.36 emissions_flow4.36,car,0.87,,
flow4.36.1,1456.0,-758926622_0,5.1,0.0,3.0,1800.0,132346057#5_0,344.19,9.93,344.0,1923.34,57.0,3,0.0,185.39,0,tripinfo_flow4.36.1 emissions_flow4.36.1,car,1.21,,
flow4.36.2,1459.0,-758926622_0,5.1,0.0,6.0,1802.0,132346057#5_0,344.19,8.14,343.0,1923.34,53.0,3,0.0,169.16,0,tripinfo_flow4.36.2 emissions_flow4.36.2,car,0.99,,
flow4.36.3,1462.0,-758926622_0,5.1,0.0,9.0,1804.0,132346057#5_0,344.19,7.02,342.0,1923.34,51.0,4,0.0,165.19,0,tripinfo_flow4.36.3 emissions_flow4.36.3,car,0.97,,
flow4.36.4,1466.0,-758926622_0,5.1,0.0,13.0,1827.0,132346057#5_0,344.19,8.21,361.0,1923.34,90.0,2,0.0,187.4,0,tripinfo_flow4.36.4 emissions_flow4.36.4,car,0.99,,
flow4.41,1603.0,-758926622_0,5.1,0.0,0.0,1835.0,132346057#5_0,344.19,7.77,232.0,1923.34,17.0,1,0.0,54.4,0,tripinfo_flow4.41 emissions_flow4.41,car,0.97,,
flow4.41.1,1606.0,-758926622_0,5.1,0.0,3.0,1837.0,132346057#5_0,344.19,8.67,231.0,1923.34,16.0,1,0.0,66.36,0,tripinfo_flow4.41.1 emissions_flow4.41.1,car,1.09,,
flow4.41.2,1609.0,-758926622_0,5.1,0.0,6.0,1839.0,132346057#5_0,344.19,8.7,230.0,1923.34,17.0,2,0.0,68.03,0,tripinfo_flow4.41.2 emissions_flow4.41.2,car,1.14,,
